"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Update booking with valid date api.","0","fullUpdateBookingResponseValidation","Test Smoke suites","Tue Mar 10 05:11:27 UTC 2026","skipped","Tue Mar 10 05:11:27 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","fullUpdateBookingResponseValidation"
"","0","prepareData","Test Smoke suites","Tue Mar 10 05:11:26 UTC 2026","broken","Tue Mar 10 05:11:26 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","prepareData"
"","0","prepareData","Test Smoke suites","Tue Mar 10 05:11:27 UTC 2026","broken","Tue Mar 10 05:11:27 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","prepareData"
"","0","afterMethodCleanUp","Test Smoke suites","Tue Mar 10 05:11:27 UTC 2026","broken","Tue Mar 10 05:11:27 UTC 2026","com.project.qa.api.suites.GetBookingTests","API tests suit","com.project.qa.api.suites.GetBookingTests","afterMethodCleanUp"
"","0","afterMethodCleanUp","Test Smoke suites","Tue Mar 10 05:11:27 UTC 2026","broken","Tue Mar 10 05:11:27 UTC 2026","com.project.qa.api.suites.AuthenticationTests","API tests suit","com.project.qa.api.suites.AuthenticationTests","afterMethodCleanUp"
"","0","afterMethodCleanUp","Test Smoke suites","Tue Mar 10 05:11:27 UTC 2026","broken","Tue Mar 10 05:11:27 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","afterMethodCleanUp"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Tue Mar 10 05:11:26 UTC 2026","broken","Tue Mar 10 05:11:26 UTC 2026","com.project.qa.api.suites.CreateBookingTests","API tests suit","com.project.qa.api.suites.CreateBookingTests","springTestContextPrepareTestInstance"
"","0","globalCleanupSuite","Test Smoke suites","Tue Mar 10 05:11:27 UTC 2026","broken","Tue Mar 10 05:11:27 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalCleanupSuite"
"","3","globalInitSuite","Test Smoke suites","Tue Mar 10 05:11:25 UTC 2026","broken","Tue Mar 10 05:11:25 UTC 2026","com.project.qa.ui.suites.CreateStudentSuite","Students suit","com.project.qa.ui.suites.CreateStudentSuite","globalInitSuite"
"","0","springTestContextPrepareTestInstance","Test Smoke suites","Tue Mar 10 05:11:27 UTC 2026","broken","Tue Mar 10 05:11:27 UTC 2026","com.project.qa.api.suites.UpdateBookingTests","API tests suit","com.project.qa.api.suites.UpdateBookingTests","springTestContextPrepareTestInstance"
